Side,Nt,Nv,Nh,Lambdal,Lambdah,LambdalMin,LambdalMax,LambdahMin,LambdahMax,Delta,Kappa,Nu,M0,Sigma,T,Mean,StandardDeviation,Kurtosis,Hurst,GPH,ADF,GARCH,Hill
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.775,7200000,-2.5938672944196293e-7,4.857745936596743e-5,79.88996084158809,0.4789920761560976,0.20662022619982753,-59.65166853988539,0.945820508281194,0.6429791586695829
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,1.0,7200000,-0.00018003016512606077,0.01820950586957004,94.43014722782777,0.3842294968515422,0.6166170246785397,-66.83348432355183,0.9831030425859403,0.02439899385758956
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,1.0,7200000,-9.080798885697546e-8,3.909914439055281e-5,84.94915970510964,0.4854501606534725,0.11659839533339292,-59.86862010693743,0.9570902288545176,0.6626141349697258
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.1,7200000,-4.3422032709641716e-5,0.020894137040559955,505.1914257657722,0.4047947502236958,0.27959494873329155,-60.85094106226893,1.0617055810245546,0.2725676320595392
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.1,7200000,3.635183228391109e-7,3.308963061459424e-5,775.0323048588757,0.4857762109230831,0.21899767751101631,-58.58688818084444,0.9434942043517864,0.9326624669150229
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.325,7200000,-3.964057709152075e-5,0.01045339660595013,195.16362446612555,0.408985439055718,0.7443849704620615,-60.17842796683296,0.9319160727375813,0.18448186841530495
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.325,7200000,1.2746542407338353e-7,3.244978623818633e-5,429.9030222238771,0.49698490890339303,0.4406554043746701,-67.9016410260688,0.969071589202973,1.033207608307596
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.55,7200000,-0.0002495344051581378,0.008328116447135582,338.17617139931764,0.5751062734612041,0.6306896846220681,-56.563064746161295,0.9678391758011227,0.33370990359534086
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.55,7200000,-8.394272066499823e-7,6.709626011615763e-5,320.97669441044496,0.5077237327201749,0.2154596365460318,-72.04840556174288,0.9777228770541613,0.9966539468045041
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.775,7200000,-0.00010361466574959722,0.005484516744220616,1126.2384633199333,0.586029902638016,0.47903693596766406,-60.574987756305205,0.9220316595211417,0.5845349275532454
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.775,7200000,-5.42888033992829e-7,4.068423284178991e-5,304.9282160101196,0.509656649858323,0.207115476782841,-71.4006912636721,0.9865343757551175,0.9583519923666339
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,1.0,7200000,-0.00010361466574959722,0.005484516744220616,1126.2384633199333,0.586029902638016,0.47903693596766406,-60.574987756305205,0.9220316595211417,0.5845349275532454
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,1.0,7200000,-5.42888033992829e-7,4.068423284178991e-5,304.9282160101196,0.509656649858323,0.207115476782841,-71.4006912636721,0.9865343757551175,0.9583519923666339
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.1,7200000,4.081652153404006e-5,0.014153524719910066,197.36836658680306,0.47212476878537996,0.37989230119779205,-64.440867688156,0.9065964582887955,0.36207765640503964
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.1,7200000,1.154911478349745e-6,7.224422455198201e-5,1046.3300522972122,0.5245104767586172,0.23427656907076705,-75.80721416851488,0.9500000001113715,0.7864696739558917
